region,block_id,longitude,latitude,RESTREND_Slope,Precip_Mean,Precip_CV,VPD_Mean,LST_Mean,Elevation,Slope,TWI,Sand_Percent,Clay_Percent,SOC,Population_2020
Rajasthan,"814,311",73.20741281919267,26.900651519106493,0.004370891816790109,338.7898127975547,2.404211439580996,2.1839070055766783,38.62069434396392,304,0.531646728515625,15.72115877131131,54.6,23.3,6.6,1.7888279408216476
Rajasthan,"801,284",72.00413056621305,24.734505436074222,0.00327637521247682,697.9695184103489,2.7549241438639918,2.00276583432706,37.12358277388589,138,0.34487301111221313,16.153581273457398,46.7,20.7,8.8,2.0018498450517654
Rajasthan,"820,349",73.71778994567039,29.93669213019631,0.004659954792753397,243.7458135346058,1.8398237907035069,1.8337056517792476,30.735699604645117,173,0.26769906282424927,16.40789082601964,46.2,21.2,11.1,0.0
Rajasthan,"802,320",72.12841593314855,27.671496416337607,9.608288368515603E-4,260.6170662609584,2.412191649815697,2.3472018351928368,40.644674841602296,174,0.40947866439819336,15.982411927451999,59.0,24.5,4.6,0.0
Rajasthan,"847,314",76.09444777571653,27.16938463516585,0.002265579375482238,637.1306741148978,2.1173402800338446,1.779096106815123,33.64395191126438,418,0.26598167419433594,16.413783250402933,52.4,19.3,9.9,8.01873879134655
Rajasthan,"798,323",71.71725188281069,27.857083456946313,0.001048524961383506,232.41474688349237,2.5009504761981876,2.358236106114501,41.61007966383941,124,0.96622234582901,15.123860966233913,63.4,19.5,5.0,0.0
Rajasthan,"819,298",73.57860005721811,25.86265333834966,1.8618426334064513E-4,482.7333004874902,2.3746623118829358,2.0207595111940213,37.49007868920171,256,0.17332226037979126,16.841817528084526,47.0,24.0,6.5,0.0
Rajasthan,"829,291",74.47113961579882,25.29505071417174,-2.572560214207739E-4,745.5687614461979,2.307855658168995,1.89855389402576,35.051302697987865,460,0.6338539123535156,15.545010710079119,36.0,31.2,8.0,0.0
Rajasthan,"807,288",72.52498111562801,25.05241344180599,-0.0028068054927053404,674.1386022544774,2.6318293509609116,1.9779672391105603,36.53633453563332,194,0.2648431062698364,16.417681513999316,42.0,21.1,7.8,0.0
Rajasthan,"846,293",76.06731613827229,25.45001053737036,0.006872494800572663,761.040969176053,2.238185091477629,1.9792495959550498,34.42567971037511,233,0.12839575111865997,17.141779095398235,38.0,29.2,8.7,0.0
Rajasthan,"815,310",73.29340363366725,26.878752976213512,0.005413226003481937,344.85695074542747,2.3988709325951296,2.169475100205234,38.45420490272377,313,0.4816043972969055,15.820015925367143,53.5,23.3,6.9,0.0
Rajasthan,"815,295",73.23136826120633,25.664183637112057,-0.002636026220952537,466.2837773888717,2.4289486316969526,2.0363834274900574,37.90540013176575,214,0.11593621224164963,17.24389551115584,49.6,24.4,6.4,0.0
Rajasthan,"815,305",73.28492973821696,26.43359875481898,4.194499803827957E-4,388.4823348136254,2.422999507571472,2.1182462207018955,37.50848013964891,240,0.12947100400924683,17.13362032688115,55.4,21.1,5.6,0.013990466482937336
Rajasthan,"845,298",75.96805431435854,25.90227431559164,0.00766972164659725,693.2486198359484,2.2358000211437727,1.9564403585957912,34.68919158479439,289,0.12888266146183014,17.138076592682957,43.1,22.5,8.9,0.0
Rajasthan,"821,350",73.84014468010155,30.00877191507557,0.002760565360137202,272.2028639432401,1.8314171124989835,1.813185425201662,30.40246568030297,173,0.17710550129413605,16.821027338918253,46.4,20.0,10.4,0.0
Rajasthan,"805,320",72.34406833121885,27.61438558712609,0.0017178326488363673,273.88327020249193,2.374032965653578,2.3281115061014015,40.15537816687672,189,0.6075414419174194,15.587845053794375,56.1,22.7,4.5,0.3806445971131325
Rajasthan,"840,323",75.4727780438151,27.86186664864884,0.004920747402039443,525.5744283099285,2.0602799782561703,1.8254283548615837,35.337041904307775,424,1.0073778629302979,15.082141514764002,46.8,25.8,7.3,1.0552684785798192
Rajasthan,"843,284",75.76624864227324,24.786889156967494,0.00970394947118574,824.3639375498777,2.2624647233378177,1.8859494096530087,35.11510705700545,352,0.34495416283607483,16.15335519354142,38.2,24.9,8.2,0.15153391659259796
Rajasthan,"789,316",70.94950498299877,27.301986185362313,-9.932366192232E-4,222.33298510089693,2.8300904964268363,2.367918995420745,42.591952732878426,161,0.3490760624408722,16.14194092316798,55.0,26.6,2.9,0.0
Rajasthan,"854,299",76.78278349363899,25.952361740717933,0.011404032653270222,732.0888583967636,2.1645238156508166,1.8575894651426876,34.481778674463165,202,0.741838276386261,15.387802603911137,48.4,25.8,7.8,0.0
Rajasthan,"825,297",74.1482958944189,25.7896320078149,8.606648054457722E-4,623.186089454832,2.3208960393512346,1.947916012319748,36.03252314653947,631,8.97010612487793,12.887090106285044,34.3,26.3,14.3,0.0
Rajasthan,"838,322",75.36791687093903,27.813049089372047,-9.354995938574344E-4,522.837136551818,2.0866746575724893,1.8347768376314308,35.43008676667732,411,0.17499321699142456,16.832590786419487,46.9,25.7,7.5,3.8306622114032507
Rajasthan,"797,306",71.66137405105174,26.570853385560568,-0.004148642027557091,291.7791979056514,2.7758670121468767,2.2266282170400573,39.38535335337674,270,0.26564449071884155,16.41493850747187,57.1,23.6,4.3,0.0
Rajasthan,"853,316",76.67565777308869,27.307484555330674,0.008693178397506577,677.5639177368175,2.051368885691752,1.7390555775931662,32.658698972549296,279,0.571081280708313,15.649679288856222,52.9,18.6,9.2,0.0
Rajasthan,"790,319",71.04000849472591,27.601886117509352,0.004168328778310257,211.46839682192808,2.688858659295739,2.3699187582187515,41.99389413270241,120,0.23187147080898285,16.551111684746505,61.0,21.0,4.3,0.39705947786569595
Rajasthan,"805,298",72.33905886840326,25.874694989535772,-0.001929415791452706,364.69397967774063,2.636349073004859,2.1848103384377646,38.25283924636943,117,0.0,17.948748756618716,51.6,18.5,5.5,0.0
Rajasthan,"835,334",75.04035628603573,28.78347375349483,0.0052055347896810015,418.305207128249,1.8773696382578156,1.919791983337132,35.352393358673666,222,0.9033094644546509,15.191382765527377,66.0,23.4,6.3,0.0
Rajasthan,"830,274",74.63834750895637,23.95182023712276,0.004169438610627476,954.28762554106,2.2388123546070267,1.7278814206204465,34.91551980619694,510,0.5205062031745911,15.741802809912352,26.9,39.0,8.1,0.0
Rajasthan,"833,298",74.83701329152984,25.8566298669342,0.003591167992101863,688.8888355378809,2.284613687089155,1.9397821672572895,34.97912893534685,375,0.11593621224164963,17.243930892560027,31.3,21.8,7.6,0.0
Rajasthan,"798,312",71.71151013713104,26.984001955920284,-0.007601288952804234,272.00285813897744,2.65102174174906,2.2993819556634123,40.37188865309298,216,0.0,17.94895550859291,60.2,21.0,5.6,0.0
Rajasthan,"816,316",73.33513312138389,27.360454853034803,0.0029902988742408054,305.9314521830698,2.3588335852515527,2.21514589863826,39.821638895736875,312,1.051443338394165,15.039222911140865,52.9,26.0,5.7,0.0
Rajasthan,"836,317",75.1556164878337,27.396502371947154,0.004919605437581514,546.7509225657899,2.2062617692786226,1.8430225646303406,35.28982579214974,513,0.5350257754325867,15.714917177861043,45.6,29.0,8.3,0.8505446910858154
Rajasthan,"811,323",72.92796784144774,27.896278721735175,0.0014296050135094633,254.90287683369291,2.3296635619988737,2.3161115814535487,40.02115555662947,254,0.3501361906528473,16.139022490559903,43.9,24.0,5.5,0.0
Rajasthan,"776,312",69.7429616679733,26.996995877295657,0.0018352079764613286,177.8726720523654,3.2742967750316594,2.3465693376169168,42.38421282406516,63,2.972672700881958,13.999070408173049,57.0,27.1,5.1,0.0
Rajasthan,"808,307",72.62003142946678,26.584693481901787,0.0010606824512617644,349.4500928869132,2.524729563959357,2.2173785011591787,38.78838413062197,290,1.269849419593811,14.85029017182919,54.4,23.4,6.9,0.0
Rajasthan,"860,315",77.29674965777701,27.25413225816031,0.005389698837315304,663.8608356164598,2.0551621931817827,1.7161522876249877,31.984871429282183,188,0.11593621224164963,17.24419217521515,43.3,28.0,8.9,0.0
Rajasthan,"819,272",73.65152245457145,23.734533144094705,0.00422156142470028,978.109977162563,2.5300774314950494,1.6846590916405748,34.65320978755591,368,1.1597455739974976,14.940501903044751,35.5,28.9,9.2,0.20241300854831934
